"","...1","year","quarter_cycle","GDP_growth_qt","DSPIC_change_pct","UNRATE","CPIAUCSL","R_majorvote_pct","D_majorvote_pct","H_incumbent_party_majorvote_pct","CPIAUCSL.ave","days_until_election","support","emonth","party","R_totalvote_pct","D_totalvote_pct","winner_party","R_support","D_support","R_difference","D_difference"
"130",32,1974,8,-21.885,-0.135490556,6,51,41.43,58.57,58.57,48.8,16.5,58,10,"D",40.68,57.51,"D",NA,58,NA,0.490000000000002
"131",32,1974,8,-21.885,-0.135490556,6,51,41.43,58.57,58.57,48.8,23.5,64,10,"D",40.68,57.51,"D",NA,64,NA,6.49
"132",32,1974,8,-21.885,-0.135490556,6,51,41.43,58.57,58.57,48.8,23.5,32,10,"R",40.68,57.51,"D",32,NA,8.68,NA
"133",33,1976,5,129.528,1.203744299,7.9,55.8,42.81,57.19,57.19,56.7,4,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"134",33,1976,5,129.528,1.203744299,7.9,55.8,42.81,57.19,57.19,56.7,4,39,10,"R",42.07,56.21,"D",39,NA,3.07,NA
"135",33,1976,5,129.528,1.203744299,7.9,55.8,42.81,57.19,57.19,56.7,15.5,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"136",33,1976,5,129.528,1.203744299,7.9,55.8,42.81,57.19,57.19,56.7,15.5,29,10,"R",42.07,56.21,"D",29,NA,13.07,NA
"137",34,1976,6,43.211,0.568492734,7.7,56.1,42.81,57.19,57.19,56.7,4,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"138",34,1976,6,43.211,0.568492734,7.7,56.1,42.81,57.19,57.19,56.7,4,39,10,"R",42.07,56.21,"D",39,NA,3.07,NA
"139",34,1976,6,43.211,0.568492734,7.7,56.1,42.81,57.19,57.19,56.7,15.5,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"140",34,1976,6,43.211,0.568492734,7.7,56.1,42.81,57.19,57.19,56.7,15.5,29,10,"R",42.07,56.21,"D",29,NA,13.07,NA
"141",35,1976,7,32.554,0.780659593,7.8,57,42.81,57.19,57.19,56.7,4,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"142",35,1976,7,32.554,0.780659593,7.8,57,42.81,57.19,57.19,56.7,4,39,10,"R",42.07,56.21,"D",39,NA,3.07,NA
"143",35,1976,7,32.554,0.780659593,7.8,57,42.81,57.19,57.19,56.7,15.5,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"144",35,1976,7,32.554,0.780659593,7.8,57,42.81,57.19,57.19,56.7,15.5,29,10,"R",42.07,56.21,"D",29,NA,13.07,NA
"145",36,1976,8,43.239,0.635137263,7.7,57.9,42.81,57.19,57.19,56.7,4,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"146",36,1976,8,43.239,0.635137263,7.7,57.9,42.81,57.19,57.19,56.7,4,39,10,"R",42.07,56.21,"D",39,NA,3.07,NA
"147",36,1976,8,43.239,0.635137263,7.7,57.9,42.81,57.19,57.19,56.7,15.5,53,10,"D",42.07,56.21,"D",NA,53,NA,3.21
"148",36,1976,8,43.239,0.635137263,7.7,57.9,42.81,57.19,57.19,56.7,15.5,29,10,"R",42.07,56.21,"D",29,NA,13.07,NA
"149",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,21.5,47,10,"D",45.04,53.54,"D",NA,47,NA,6.54
"150",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,19,45,10,"D",45.04,53.54,"D",NA,45,NA,8.54
"151",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,19,26,10,"R",45.04,53.54,"D",26,NA,19.04,NA
"152",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,23.5,54,10,"D",45.04,53.54,"D",NA,54,NA,0.460000000000001
"153",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,23.5,32,10,"R",45.04,53.54,"D",32,NA,13.04,NA
"154",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,23,55,10,"D",45.04,53.54,"D",NA,55,NA,1.46
"155",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,23,45,10,"R",45.04,53.54,"D",45,NA,0.0399999999999991,NA
"156",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,31.5,61,10,"D",45.04,53.54,"D",NA,61,NA,7.46
"157",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,31.5,38,10,"R",45.04,53.54,"D",38,NA,7.04,NA
"158",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,31.5,37,10,"D",45.04,53.54,"D",NA,37,NA,16.54
"159",37,1978,5,20.139,0.786256549,6.4,62.7,45.69,54.31,54.31,64.8,31.5,21,10,"R",45.04,53.54,"D",21,NA,24.04,NA
"160",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,21.5,47,10,"D",45.04,53.54,"D",NA,47,NA,6.54
"161",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,19,45,10,"D",45.04,53.54,"D",NA,45,NA,8.54
"162",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,19,26,10,"R",45.04,53.54,"D",26,NA,19.04,NA
"163",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,23.5,54,10,"D",45.04,53.54,"D",NA,54,NA,0.460000000000001
"164",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,23.5,32,10,"R",45.04,53.54,"D",32,NA,13.04,NA
"165",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,23,55,10,"D",45.04,53.54,"D",NA,55,NA,1.46
"166",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,23,45,10,"R",45.04,53.54,"D",45,NA,0.0399999999999991,NA
"167",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,31.5,61,10,"D",45.04,53.54,"D",NA,61,NA,7.46
"168",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,31.5,38,10,"R",45.04,53.54,"D",38,NA,7.04,NA
"169",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,31.5,37,10,"D",45.04,53.54,"D",NA,37,NA,16.54
"170",38,1978,6,244.599,1.058788582,6.1,63.9,45.69,54.31,54.31,64.8,31.5,21,10,"R",45.04,53.54,"D",21,NA,24.04,NA
"171",39,1978,7,66.107,0.776148651,6.2,65.5,45.69,54.31,54.31,64.8,21.5,47,10,"D",45.04,53.54,"D",NA,47,NA,6.54
"172",39,1978,7,66.107,0.776148651,6.2,65.5,45.69,54.31,54.31,64.8,19,45,10,"D",45.04,53.54,"D",NA,45,NA,8.54
"173",39,1978,7,66.107,0.776148651,6.2,65.5,45.69,54.31,54.31,64.8,19,26,10,"R",45.04,53.54,"D",26,NA,19.04,NA
