"year","quarter_cycle","GDP_growth_qt","DSPIC_change_pct","UNRATE","R_majorvote_pct","D_majorvote_pct","H_incumbent_party_majorvote_pct"
1981,3,82.576,2.155880558,7.2,NA,NA,NA
1981,4,-76.03,0.110934608,7.9,NA,NA,NA
1982,5,-107.227,0.241294071,8.6,43.85,56.15,56.15
1982,6,30.998,0.604399558,9.3,43.85,56.15,56.15
1982,7,-26.095,0.479184411,9.8,43.85,56.15,56.15
1982,8,2.716,0.313834606,10.4,43.85,56.15,56.15
1983,1,89.647,0.943073698,10.4,NA,NA,NA
1983,2,156.838,0.69398736,10.2,NA,NA,NA
1983,3,140.914,1.498987771,9.4,NA,NA,NA
1983,4,149.997,2.227780036,8.8,NA,NA,NA
1984,5,143.478,1.994519811,8,47.28,52.72,52.72
1984,6,129.297,1.664078101,7.7,47.28,52.72,52.72
1984,7,73.391,1.320089186,7.5,47.28,52.72,52.72
1984,8,63.092,0.816198216,7.4,47.28,52.72,52.72
1985,1,75.096,-0.258121889,7.3,NA,NA,NA
1985,2,68.889,1.944687281,7.3,NA,NA,NA
1985,3,120.538,-0.311779471,7.4,NA,NA,NA
1985,4,59.565,1.057326945,7.1,NA,NA,NA
1986,5,75.364,1.314595277,6.7,44.81,55.19,55.19
1986,6,36.7,1.278620114,7.1,44.81,55.19,55.19
1986,7,78.336,0.639479626,7,44.81,55.19,55.19
1986,8,44.382,0.151211603,7,44.81,55.19,55.19
1987,1,61.909,0.921706711,6.6,NA,NA,NA
1987,2,90.303,-0.940293268,6.3,NA,NA,NA
1987,3,73.402,1.793210987,6.1,NA,NA,NA
1987,4,146.527,1.348130453,6,NA,NA,NA
1988,5,44.844,1.467603847,5.7,46,54,54
1988,6,114.635,1.029703589,5.4,46,54,54
1988,7,51.794,0.965077794,5.4,46,54,54
1988,8,118.478,0.944619752,5.4,46,54,54
1989,1,91.595,1.137099385,5.4,NA,NA,NA
1989,2,69.469,-0.293582203,5.2,NA,NA,NA
1989,3,67.946,0.664135195,5.2,NA,NA,NA
1989,4,18.205,0.846617268,5.3,NA,NA,NA
1990,5,101.161,0.767368317,5.4,45.91,54.09,54.09
1990,6,33.962,0.69630712,5.4,45.91,54.09,54.09
1990,7,6.248,-0.033600678,5.5,45.91,54.09,54.09
1990,8,-85.562,-0.854913193,5.9,45.91,54.09,54.09
1991,1,-43.57,0.250578542,6.4,NA,NA,NA
1991,2,72.275,0.730742652,6.7,NA,NA,NA
1991,3,47.203,0.408212913,6.8,NA,NA,NA
1991,4,32.72,0.831520238,7,NA,NA,NA
1992,5,112.781,2.012639066,7.3,47.14,52.86,52.86
1992,6,103.386,0.991647548,7.4,47.14,52.86,52.86
1992,7,95.247,0.464599912,7.7,47.14,52.86,52.86
1992,8,101.531,0.453165192,7.3,47.14,52.86,52.86
1993,1,16.463,0.375779986,7.3,NA,NA,NA
1993,2,57.374,0.310365946,7.1,NA,NA,NA
1993,3,47.294,0.08676212,6.9,NA,NA,NA
1993,4,135.408,0.693495271,6.8,NA,NA,NA
1994,5,97.905,0.661388917,6.6,53.59,46.41,46.41
1994,6,138.065,1.006380379,6.4,53.59,46.41,46.41
1994,7,60.363,0.584192748,6.1,53.59,46.41,46.41
1994,8,118.99,1.434183451,5.8,53.59,46.41,46.41
1995,1,37.272,0.855368889,5.6,NA,NA,NA
